시설명,소재지도로명주소,소재지지번주소,설치장소설명,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호
서면행정복지센터,충청남도 서천군 서면 서인로 761,충청남도 서천군 서면 신합리 479-6,1층 현관,N,Y,서면행정복지센터,041-950-6560
대한노인회서천군지회,충청남도 서천군 서천읍 군청안길 27,충청남도 서천군 서천읍 군사리 540-1,1층 현관,N,Y,대한노인회서천군지회,041-953-2074
서천국민체육센터,충청남도 서천군 마서면 마서로 400,충청남도 서천군 마서면 옥산리 182-4,1층 현관,N,Y,서천국민체육센터,041-950-4766
장항읍행정복지센터,충청남도 서천군 장항읍 장항로 208,충청남도 서천군 장항읍 창선1리 40,1층 현관,N,Y,장항읍행정복지센터,041-950-6300
마서면행정복지센터,충청남도 서천군 마서면 장서로 685,충청남도 서천군 마서면 계동리 22,1층 현관,N,Y,마서면행정복지센터,041-950-6360
비인면행정복지센터,충청남도 서천군 비인면 비인로 194-1,충청남도 서천군 비인면 성내리 307-4,1층 현관,N,Y,비인면행정복지센터,041-950-6540
공설운동장,충청남도 논산시 체육로 110,,1층 로비,Y,Y,충청남도 논산시,041-746-5363
충남지체장애인협회 논산시지회,충청남도 논산시 해월로87번길 18,,1층 현관,Y,Y,충청남도 논산시,041-746-5363
논산역,충청남도 논산시 해월로 236-13,,1층 로비,Y,Y,충청남도 논산시,041-746-5363
청양군청,충청남도 청양군 청양읍 문화예술로 222,충청남도 청양군 청양읍 송방리 100,1층 현관,Y,Y,충청남도 청양군청,041-940-2103
청양읍사무소,충청남도 청양군 청양읍 칠갑산로 9길 32,충청남도 청양군 청양읍 읍내리 14-1,1층 현관,Y,Y,충청남도 청양군 청양읍사무소,041-940-4112
노인종합복지관,충청남도 청양군 청양읍 칠갑산로 2길 4,충청남도 청양군 청양읍 읍내리 188-5,1층 현관,Y,Y,청양군노인종합복지관,041-943-8805
청남면사무소,충청남도 청양군 청남면 명덕로 183,충청남도 청양군 청남면 청소리 184,1층 현관,Y,Y,충청남도 청양군 청남면사무소,041-940-4265
온양6동 행정복지센터,충청남도 아산시 외암로 1330,충청남도 아산시 장존동 29-16,정문 안쪽 오른편(바로 앞),Y,Y,충청남도 아산시,041-536-8657
아산시자립생활지원센터,충청남도 아산시 온천대로 1496,충청남도 아산시 온천동 56-9,센터 내 휴게실,Y,Y,충청남도 아산시,041-536-8657
아산시 장애인체육관,충청남도 아산시 곡교천로27번길 33,충청남도 아산시 실옥동 368-32,체육관2층,Y,Y,충청남도 아산시,041-536-8657
아산시 중앙도서관,충청남도 아산시 남부로 229,충청남도 아산시 용화동 1391,1층 입구,Y,Y,충청남도 아산시,041-536-8657
대천1동행정복지센터,충청남도 보령시 천변북길 121 (대천동),,1층 현관입구,Y,Y,충청남도 보령시청,041-930-3633
대천3동행정복지센터,충청남도 보령시 대청로 167 (동대동),,1층 현관,Y,Y,충청남도 보령시청,041-930-3633
대천4동행정복지센터,충청남도 보령시 명천로 70,,1층 사무실 내부,Y,Y,충청남도 보령시청,041-930-3633
대천5동행정복지센터,충청남도 보령시 대천항로 204 (신흑동),,1층 현관,Y,Y,충청남도 보령시청,041-930-3633
예산군청,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,예산군청 민원봉사과 민원안내 뒤편 휠체어 보관장소 옆,N,Y,충청남도 예산군청,041-339-7152
예산군농업기술센터,충청남도 예산군 신암면 오신로 852,충청남도 예산군 신암면 종경리 281-22,예산군 농업기술센터 교육관 1층 문 왼쪽,Y,Y,충청남도 예산군청,041-339-8114
예산읍행정복지센터,충청남도 예산군 예산읍 예산로176번길 15,충청남도 예산군 예산읍 예산리 429-1,예산군 예산읍행정복지센터 입구,Y,Y,충청남도 예산군청,041-339-8424
삽교읍행정복지센터,충청남도 예산군 삽교읍 두리3길 33,충청남도 예산군 삽교읍 두리 571-1,예산군 삽교읍행정복지센터 팩스 옆,Y,Y,충청남도 예산군청,041-339-8493
삽교읍주민복합지원센터,충청남도 예산군 삽교읍 예학로 65,충청남도 예산군 삽교읍 목리 889,예산군 주민복합지원센터 실내 무인민원발급기 옆,Y,Y,충청남도 예산군청,041-339-8506
신양면행정복지센터,충청남도 예산군 신양면 청신로 372,충청남도 예산군 신양면 신양리 351-1,예산군 신양면행정복지센터 민원팀 옆 휴게실 입구,Y,Y,충청남도 예산군청,041-339-8574
광시면행정복지센터,충청남도 예산군 광시면 광시소길 16,충청남도 예산군 광시면 광시리 95,예산군 광시면행정복지센터 민원실 창구 옆,Y,Y,충청남도 예산군청,041-339-8614
대흥면행정복지센터,충청남도 예산군 대흥면 의좋은형제길 37,충청남도 예산군 대흥면 동서리 106-1,예산군 대흥면행정복지센터 복지팀 앞 정수기 옆,Y,Y,충청남도 예산군청,041-339-8653
덕산면행정복지센터,충청남도 예산군 덕산면 덕산온천로 391,충청남도 예산군 덕산면 신평리 344-1,예산군 덕산면행정복지센터 주민상담실 안,Y,Y,충청남도 예산군청,041-339-8732
연무체육공원,충청남도 논산시 연무읍 연무로166번길 64,,1층 현관,Y,Y,충청남도 논산시,041-746-5363
연산면사무소,충청남도 논산시 연산면 선비로275번길 21,,민원실 입구,Y,Y,충청남도 논산시,041-746-5363
가야곡면사무소,충청남도 논산시 가야곡면 덕은로 22,,민원실 입구,Y,Y,충청남도 논산시,041-746-5363
종합사회복지관,충청남도 논산시 논산대로 412,,1층 로비,Y,Y,충청남도 논산시,041-746-5363
논산시사람꽃복지관,충청남도 논산시 부적면 계백로1546번길 38,,1층 입구,Y,Y,충청남도 논산시,041-746-5363
부적면사무소,충청남도 논산시 부적면 마구평길 22,,민원실 입구,Y,Y,충청남도 논산시,041-746-5363
상월면사무소,충청남도 논산시 상월면 백일헌로 1049,,민원실 입구,Y,Y,충청남도 논산시,041-746-5363
취암동행정복지센터,충청남도 논산시 시민로 389,,민원실 입구,Y,Y,충청남도 논산시,041-746-5363
논산시청,충청남도 논산시 시민로210번길 9,,민원실,Y,Y,충청남도 논산시,041-746-5363
보령시청,충청남도 보령시 성주산로 77,,1층 엘리베이터 옆,Y,Y,충청남도 보령시청,041-930-3633
웅천읍행정복지센터,충청남도 보령시 웅천읍 장터중앙길 88,,1층 사무실 내부,Y,Y,충청남도 보령시청,041-930-3633
주교면행정복지센터,충청남도 보령시 주교면 울계큰길 396,,주민자치센터 입구 앞,Y,Y,충청남도 보령시청,041-930-3633
오천면행정복지센터,충청남도 보령시 오천면 솟재길 281,,1층 사무실 내부,Y,Y,충청남도 보령시청,041-930-3633
청라면행정복지센터,충청남도 보령시 청라면 원모루길 223,,청라종합문화복지센터 1층,Y,Y,충청남도 보령시청,041-930-3633
남포면행정복지센터,충청남도 보령시 남포면 충서로 1839-20,,1층 현관,Y,Y,충청남도 보령시청,041-930-3633
성주면행정복지센터,충청남도 보령시 성주면 심원계곡로 6-7,,1층 현관입구,Y,Y,충청남도 보령시청,041-930-3633
부여군장애인종합복지관,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,1층현관,Y,N,부여군장애인종합복지관,041-836-2157
장암면행정복지센터,충청남도 부여군 장암면 석동로 15,충청남도 부여군 장암면 석동리 603-1,1층 현관,Y,N,충청남도 부여군청,041-830-6704
세도면행정복지센터,충청남도 부여군 세도면 세도중앙로 8,충청남도 부여군 세도면 청송리 414-2,1층 현관,Y,Y,충청남도 부여군청,041-830-6732
석성면행정복지센터,충청남도 부여군 석성면 증산로 61-1,충청남도 부여군 석성면 증산리 1284-24,창고,Y,N,충청남도 부여군청,041-830-6766
초촌면행정복지센터,충청남도 부여군 초촌면 초촌로15번길 6,충청남도 부여군 초촌면 응평리 128-4,1층 현관,N,N,충청남도 부여군청,041-830-6792
충화면행정복지센터,충청남도 부여군 충화면 팔충로 770,충청남도 부여군 충화면 천당리 194,1층 현관,N,N,충청남도 부여군청,041-830-6628
양화면행정복지센터,충청남도 부여군 양화면 입포로53번길 6,충청남도 부여군 양화면 입포리 60-8,1층 현관,Y,Y,충청남도 부여군청,041-830-6658
임천면행정복지센터,충청남도 부여군 임천면 성흥로97번길 23,충청남도 부여군 임천면 군사리 314-9,1층 현관,N,N,충청남도 부여군청,041-830-6672
입장면행정복지센터,충청남도 천안시 서북구 입장면 입장로 129,충청남도 천안시 서북구 입장면 하장리 77-2,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
성거읍행정복지센터,충청남도 천안시 서북구 성거읍 봉주로 469,충청남도 천안시 서북구 성거읍 저리 57-26,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
농수산물도매시장,충청남도 천안시 서북구 천안대로 1341,충청남도 천안시 서북구 신당동 539-5,과일동 입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
천안종합터미널,충청남도 천안시 동남구 만남로 43 (고속터미널 대합실),충청남도 천안시 동남구 신부동 97-7,물품보관함 옆,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
천안박물관,충청남도 천안시 동남구 천안대로 429-13,충청남도 천안시 동남구 삼룡동 261-9,1층 출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
두정도서관,충청남도 천안시 서북구 부성3길 9,충청남도 천안시 서북구 두정동 985,1층 출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
신방도서관,충청남도 천안시 동남구 통정4로 7,충청남도 천안시 동남구 신방동 1521,1층 출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
목천읍행정복지센터,충청남도 천안시 동남구 목천읍 서리1길 41-7,충청남도 천안시 동남구 목천읍 서리 93-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
아우내은빛복지관,충청남도 천안시 동남구 병천면 병천2로 51,충청남도 천안시 동남구 병천면 병천리 산 59-2,1층 출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
장애인종합체육관,충청남도 천안시 동남구 향교1길 104-38,충청남도 천안시 동남구 유량동 432,줄입구 오른쪽,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
유관순체육관,"충청남도 천안시 서북구 번영로 208, 국민체육센터수영장 내",충청남도 천안시 서북구 불당동 669-1,국민체육센터수영장 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
성정종합사회복지관,"충청남도 천안시 서북구 쌍용대로 289-25, 주공6단지 내",충청남도 천안시 서북구 성정동 787,출입구 오른쪽,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
쌍용종합사회복지관,"충청남도 천안시 서북구 쌍용11길 57, 주공7단지 내",충청남도 천안시 서북구 쌍용동 1284,7단지 관리사무소내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
노인종합복지관,충청남도 천안시 서북구 미라11길 16,충청남도 천안시 서북구 쌍용동 1266,줄입구 현관,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
천안시청,"충청남도 천안시 서북구 번영로 156, 1층",충청남도 천안시 서북구 불당동 234-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
충청남도 천안시 동남구청,"충청남도 천안시 동남구 천안대로 400, 별관 1층",충청남도 천안시 동남구 삼룡동 320-8,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
충청남도 천안시 서북구청,충청남도 천안시 서북구 성거읍 봉주로 75,충청남도 천안시 서북구 성거읍 신월리 343-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
천안역,충청남도 천안시 동남구 대흥로 239(전철역 대합실),충청남도 천안시 동남구 성황동 112,서부역사내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
쌍용역,충청남도 천안시 서북구 쌍용19로 20(대합실),충청남도 천안시 서북구 쌍용동 426-3,1층 매표소 옆,N,Y,충청남도 천안시 노인장애인과,041-521-5387
두정역,충청남도 천안시 서북구 두정로 289(대합실),충청남도 천안시 서북구 두정동 85-9,2층 매점옆,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
봉명역,충청남도 천안시 동남구 차돌로 51(대합실),충청남도 천안시 동남구 봉명동 산 57-6,2층 매표소 옆,N,Y,충청남도 천안시 노인장애인과,041-521-5387
직산역,충청남도 천안시 서북구 직산읍 천안대로 1471-33(대합실),충청남도 천안시 서북구 직산읍 모시리 9-9,2층 매표소 옆,N,Y,충청남도 천안시 노인장애인과,041-521-5387
성환읍행정복지센터,충청남도 천안시 서북구 성환읍 성환13길 7,충청남도 천안시 서북구 성환읍 성환리 274-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
장애인종합복지관,충청남도 천안시 서북구 두정고2길 51,충청남도 천안시 서북구 두정동 1843,출입구 왼쪽,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
충청남도 금산군 남이면행정복지센터,충청남도 금산군 남이면 휴양림로 299,충청남도 금산군 남이면 하금리 297-6,사무실 내 좌측,Y,Y,충청남도 금산군 남이면행정복지센터,041-750-8573
충청남도 금산군 진산면행정복지센터,충청남도 금산군 진산면 읍내로 69,충청남도 금산군 진산면 읍내리 600-1,진산면사무소 주차장,Y,Y,충청남도 금산군 진산면행정복지센터,041-750-8623
